0x006bca3c,_dadd
0x006bd3d0,_dcmp
0x006bd628,_dcmp_reverse
0x006bcd14,_ddiv
0x006bd1e0,_dfix
0x006bd290,_dfixu
0x006bd318,_dflt
0x006bd3c4,_dfltu
0x006bab48,_divmod_signed_int
0x006bafe0,_divmod_unsigned_int
0x006bd458,_dmul
0x006bd6c8,_drsb
0x006bd854,_dsub
0x006bdbd8,_f2d
0x006bdd5c,_fdiv
0x006bdf40,_ffix
0x006bdfb4,_ffixu
0x006be014,_fflt
0x006be048,_ffltu
0x006be050,_fmul
0xff826964,_GetSystemTime
0x006bb388,_log
0x006bb8c8,_log10
0x006bba40,_pow
0x006bc9f0,_safe_sqrt
0x006be550,_scalbn
0x006bd6e0,_sqrt
0xff824ea4,_uartr_req
0xff9689f0,AbortAEIntegralValue_FW
0xff82a218,AcquireRecursiveLock
0xff8267f8,AcquireRecursiveLockStrictly
0xff96b0e8,ActivateAdjLog_FW
0xff904730,ActivateImager_FW
0xff9047c8,ActivateImagerXOne_FW
0xffa714d4,add_ptp_handler
0xff9b756c,add_ui_to_dialog
0xff9a5364,AdditionAgentRAM_FW
0xffaa85f8,AddTransparentMemory_FW
0xffb7a29c,AdjAEWithAperturePriority_FW
0xffb7a244,AfAEWithAperturePriority_FW
0xffb7a44c,AfAEWithCompensation_FW
0xff901078,AFTool.GetEVal_FW
0xff9012f8,AFTool.SetAFLogType_FW
0xff9012d0,AFTool.StoreAFixPosition_FW
0xffadac88,AllocateMemory
0xffadac88,AllocateMemory_FW
0xff8261f4,AllocateUncacheableMemory
0xffa215e8,apex2us
0xff838bf8,atol_FW
0xff9697f4,AttachIntegCrawData_FW
0xffaa8630,AttachToTransparentMemory_FW
0xffb530d8,Bat_Calc_FW
0xffb7bbbc,Bat_Save_FW
0xffb7bba8,Bat_VIN_FW
0xff8697b4,BeepDrive_FW
0xff8697d4,BeepDriveComp_FW
0xffb7920c,CalcLog10
0xffb79248,CalcLog10_FW
0xffb7bbd4,CalcLowBatteryOffsetValue_FW
0xffb79338,CalcSqrt_FW
0xffb530d8,CalculateBatSenseOffset_FW
0xffb81054,CalculateInterpolationByLS_FW
0xffb791dc,CalculateLog2ToApex_FW
0xffb791b4,CalculatePeakFromLeastSquareResult_FW
0xffb80ffc,CalculatePeakPosByLS_FW
0xffb791f0,CalculatePow2FromApex_FW
0xff87bcb4,CalculateTestRecYUVData_FW
0xff859fc4,cameracon_get_state
0xff85834c,cameracon_set_state
0xffb7a07c,CancelAdj_AEMode_FW
0xffb7e3fc,CancelAdjCdsMode_FW
