0xff009fc8,CPrintf_FW
0xff00a020,CPutChar_FW
0xff052bcc,CreateAdjustmentTableMirror_FW
0x004774c8,CreateBinarySemaphore
0x00477acc,CreateBinarySemaphoreStrictly
0xff07ee18,CreateController_FW
0x00477530,CreateCountingSemaphore
0x00477530,CreateCountingSemaphore_FW
0x00477af0,CreateCountingSemaphoreStrictly
0xff052bdc,CreateDefectTableMirror_FW
0xff223a48,CreateDialogBox
0x0047a990,CreateEventFlag
0x00477aa8,CreateEventFlagStrictly
0xff14781c,CreateFADBGSingalID_FW
0xff364298,CreateJumptable
0x00477104,CreateMessageQueue
0x00477a84,CreateMessageQueueStrictly
0xff076c64,CreateProxyOfEventProcedure_FW
0x0047ae58,CreateRecursiveLock
0x00477b14,CreateRecursiveLockStrictly
0x00476824,CreateTask
0x00476824,CreateTask_FW
0x00477a50,CreateTaskStrictly
0xff24ce90,CrossDefDetect_FW
0xff07f098,CtrlMan_ChangeZOrder_FW
0xff171bec,CzDebugPrint_FW
0xff171c00,CzDebugPrintToFile_FW
0xff01cc84,Dcdc_Bl_Pwr_Ctrl_FW
0xff01d170,Dcdc_Down_Avs_Voltage_Step_FW
0xff01d104,Dcdc_Get_Avs_Voltage_Step_FW
0xff01cec0,Dcdc_Rtc_Set_Timer_Reg_FW
0xff01d078,Dcdc_Set_Avs_Voltage_Step_FW
0xff01d224,Dcdc_Up_Avs_Voltage_Step_FW
0x00476afc,DebugAssert
0xff2ea3d8,DelaySet_FW
0xff07eef4,DeleteController_FW
0xff020ae4,DeleteDirectory_Fut
0x0047a9e8,DeleteEventFlag
0xff020a70,DeleteFile_Fut,(stubs_entry_2.s)
0x00477188,DeleteMessageQueue
0xff076cbc,DeleteProxyOfEventProcedure_FW
0x0047aea8,DeleteRecursiveLock
0x00477588,DeleteSemaphore
0x00477588,DeleteSemaphore_FW
0xff3640f4,DevelopStillPicture_FW
0xff24d438,DevelopTool.DevelopTest_FW
0xff1474b8,DeviceUniqueIDCheckSum_FW
0xff04882c,DisableAcceleLogRead_FW
0xff0487e8,DisableAcceleLogWrite_FW
0xff14a360,DisableDebugLogMode_FW
0xff2ea108,DisableDISModeChange_FW
0xff2e87c8,DisableFocusLens_FW
0xff2e8844,DisableFocusLensGainLock_FW
0xff2e8870,DisableFocusLensWaveLock_FW
0xff2e8d44,DisableFocusPiCircuit_FW
0xff04b718,DisableHDMIPower
0xff048914,DisableHvUpdate_FW
0xff2e9e8c,DisableISAutoGyroOffset_FW
0xff2e9e6c,DisableISDriveError
0xff2e9e6c,DisableISDriveError_FW
0xff2e8c9c,DisableLensError_FW
0xff2ea1a8,DisableMacroIS_FW
0xff2e8d24,DisableMechaCircuit_FW
0xff2e8d8c,DisableZoomEncoderCircuit_FW
0xff2e9484,DisableZoomLensElectricControl_FW
0xff2e9144,DisableZoomLensEncoderPowerControl_FW
0xff2e945c,DisableZoomLensSpeedControl_FW
0xff2e8d68,DisableZoomPiCircuit_FW
0xff0468c4,DispCon_GetLcdGainAdjParameter_FW
0xff0466e8,DispCon_GetVideoAdjParameter_FW
0xff046910,DispCon_SaveLcdGainAdjParameter_FW
0xff046788,DispCon_SaveVideoAdjParameter_FW
0xff046234,DispCon_SetDisplayType_FW
0xff046804,DispCon_SetLcdGainAdjParameter_FW
0xff0465f0,DispCon_SetMaxBackLightBrightness_FW
0xff046670,DispCon_SetVideoAdjParameter_FW
0xff046158,DispCon_ShowBitmapColorBar
0xff046158,DispCon_ShowBitmapColorBar_FW
0xff04613c,DispCon_ShowBlackChart_FW
0xff045f0c,DispCon_ShowColorBar_FW
0xff046254,DispCon_ShowColorChart_FW
0xff0461c8,DispCon_ShowCustomColorBar_FW
0xff045f98,DispCon_ShowFiveStep_FW
0xff04692c,DispCon_ShowHdChart_FW
0xff046900,DispCon_ShowLcdGainAdjParameter_FW
0xff046434,DispCon_ShowNStepsChart_FW
0xff046750,DispCon_ShowVideoAdjParameter_FW
0xff0460e8,DispCon_ShowWhiteChart_FW
0xff046278,DispCon_ShowWhiteLine_FW
0xff0465e0,DispCon_TurnOffBackLight_FW
0xff0465c0,DispCon_TurnOffDisplay_FW
0xff0465d0,DispCon_TurnOnBackLight_FW
0xff0465b0,DispCon_TurnOnDisplay_FW
0xff180a14,DispDev.Create_FW
0xff17e490,DispDev_EnableEventProc_FW
0xff093b58,DisplayBusyOnScreen
0xff224278,DisplayDialogBox
0xff01faa4,DisplayFactoryMode_FW
0xff022f84,DoAELock
0xff022c94,DoAFLock
0xff0a7558,DoMovieFrameCapture
0xff17e5f4,Driver.Create_FW
0xff17e5f4,Driver_EnableEventProc_FW
0xff004300,drysh_FW
0xff2ea44c,DspDataTranster_FW
0xff2ea45c,DspProgTranster_FW
0xff17ea4c,Dump32_FW
0xff17ea3c,Dump_FW
0xff0522f4,DumpAdjMirror_FW
0xff2a69f0,DumpTransparentMemoryItem_FW
0xff0ea1c8,E2LatOn_FW
0xff27fb4c,EdidDump_FW
0xff27fb48,EdidView_FW
0xff25a418,EF.AdjPreFlash_FW
0xff0ce384,EF.IsChargeFull_FW
0xff25a454,EF.SetChargeMode_FW
0xff25a334,EF.SetEFChargeTimeOut_FW
0xff25a468,EF.SetFlashTime_FW
0xff25a400,EF.SetMainFlashTime_FW
0xff25a2d8,EF.StartEFCharge_FW
0xff25a37c,EF.StartInternalMainFlash_FW
0xff25a348,EF.StartInternalPreFlash_FW
0xff25a324,EF.StopEFCharge_FW
0xff048818,EnableAcceleLogRead_FW
0xff0487d4,EnableAcceleLogWrite_FW
0xff14a34c,EnableDebugLogMode_FW
0xff2ea118,EnableDISModeChange_FW
0xff2e877c,EnableFocusLens_FW
