CAMERA,FIRMWARE,STATUS,SOURCE_FW,SOURCE_CAM,AUTOBUILD,PLATFORMID,OS,OSVER,DIGIC,ROMBASEADDR,MEMBASEADDR,MAXRAMADDR,KEYSYS,FI2FLAGS,DANCING_BITS,THUMB_FW,ARAM_MALLOC,ARAM_HEAP_START,ARAM_HEAP_SIZE,CHDK_IN_ARAM,EXMEM_MALLOC,EXMEM_HEAP_SKIP,EXMEM_BUFFER_SIZE,CHDK_IN_EXMEM
g7,100g,,,,,12581,vxworks,,30,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
g7,100i,,,,,12581,vxworks,,30,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
g7,100j,,,,,12581,vxworks,,30,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus850_sd800,100d,,100e,,,12598,vxworks,,30,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus850_sd800,100e,,,,,12598,vxworks,,30,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus950_sd850,100c,,,,,12619,vxworks,,30,0xFF810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
a570,100e,,,,,12620,vxworks,,30,0xffc00000,0x1900,0x1FFFFFF,,,,,,,,,,,,
a570,101a,,,,,12620,vxworks,,30,0xffc00000,0x1900,0x1FFFFFF,,,,,,,,,,,,
a560,100a,,,,,12621,vxworks,,30,0xffc00000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus75_sd750,100b,,,,,12622,vxworks,,30,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus75_sd750,101a,,,,,12622,vxworks,,30,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus75_sd750,101b,,101a,,,12622,vxworks,,30,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus75_sd750,102a,,,,,12622,vxworks,,30,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus70_sd1000,100c,,,,,12623,vxworks,,30,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus70_sd1000,101a,,101b,,,12623,vxworks,,30,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus70_sd1000,101b,,,,,12623,vxworks,,30,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
ixus70_sd1000,102a,,,,,12623,vxworks,,30,0xff810000,0x1900,0x1FFFFFF,,,,,,,,,,,,
s5is,101a,,,,,12616,dryos,20,30,0xff810000,0x1900,0x1FFFFFF,d3,,,,,,,,,,,
s5is,101b,,,,,12616,dryos,20,30,0xff810000,0x1900,0x1FFFFFF,d3,,,,,,,,,,,
g9,100d,,,,,12634,dryos,23,30,0xFF810000,0x1900,0x03FFFFFF,d3,,,,,,,,,,,
g9,100f,,100g,,,12634,dryos,23,30,0xFF810000,0x1900,0x03FFFFFF,d3,,,,,,,,,,,
g9,100g,,,,,12634,dryos,23,30,0xFF810000,0x1900,0x03FFFFFF,d3,,,,,,,,,,,
g9,100h,,100i,,,12634,dryos,23,30,0xFF810000,0x1900,0x03FFFFFF,d3,,,,,,,,,,,
g9,100i,,,,,12634,dryos,23,30,0xFF810000,0x1900,0x03FFFFFF,d3,,,,,,,,,,,
a650,100d,,,,,12635,dryos,23,30,0xffc00000,0x1900,0x1FFFFFF,d3,,,,,,,,,,,
a720,100c,,,,,12637,dryos,23,30,0xffc00000,0x1900,0x1FFFFFF ,d3,,,,,,,,,0x0 ,0x400000 ,
sx100is,100b,,,,,12638,dryos,23,30,0xffc00000,0x1900,0x1FFFFFF,d3,,,,,,,,,,,
sx100is,100c,,,,,12638,dryos,23,30,0xffc00000,0x1900,0x1FFFFFF,d3,,,,,,,,,,,
ixus960_sd950,100c,,100d,,,12639,dryos,23,30,0xff810000,0x1900,0x1FFFFFF,d3,,,,,,,,,,,
ixus960_sd950,100d,,,,,12639,dryos,23,30,0xff810000,0x1900,0x1FFFFFF,d3,,,,,,,,,,,
ixus860_sd870,100c,,,,,12640,dryos,23,30,0xff810000,0x1900,0x1FFFFFF,d3,,,,,,,,,,,
