CAMERA,FIRMWARE,STATUS,SOURCE_FW,SOURCE_CAM,AUTOBUILD,PLATFORMID,OS,OSVER,DIGIC,ROMBASEADDR,MEMBASEADDR,MAXRAMADDR,KEYSYS,FI2FLAGS,DANCING_BITS,THUMB_FW,ARAM_MALLOC,ARAM_HEAP_START,ARAM_HEAP_SIZE,CHDK_IN_ARAM,EXMEM_MALLOC,EXMEM_HEAP_SKIP,EXMEM_BUFFER_SIZE,CHDK_IN_EXMEM
g12,100e,,,,,12815,dryos,45,40,0xFF810000,0x1900,0x07FFFFFF,d4b,,5,,1,0x3ce000,0x32000,1,,0x2F7600 ,0x400000 ,
g12,100f,,,,,12815,dryos,45,40,0xFF810000,0x1900,0x07FFFFFF,d4b,,5,,1,0x3ce000,0x32000,1,,0x2F7600 ,0x400000 ,
g12,100g,,,,,12815,dryos,45,40,0xFF810000,0x1900,0x07FFFFFF,d4b,,5,,1,0x3ce000,0x32000,1,,0x2F7600 ,0x400000 ,
sx30,100e,,,,,12816,dryos,45,40,0xFF810000,0x1900,0x07FFFFFF,d4b,,5,,,,,,,0x2F7600 ,0x400000 ,
sx30,100h,,,,,12816,dryos,45,40,0xFF810000,0x1900,0x07FFFFFF,d4b,,5,,,,,,,0x2F7600 ,0x400000 ,
sx30,100l,,,,,12816,dryos,45,40,0xFF810000,0x1900,0x07FFFFFF,d4b,,5,,,,,,,0x2F7600 ,0x400000 ,
sx30,100m,,100l,,,12816,dryos,45,40,0xFF810000,0x1900,0x07FFFFFF,d4b,,5,,,,,,,0x2F7600 ,0x400000 ,
sx30,100n,,,,,12816,dryos,45,40,0xFF810000,0x1900,0x07FFFFFF,d4b,,5,,,,,,,0x2F7600 ,0x400000 ,
sx30,100p,,,,,12816,dryos,45,40,0xFF810000,0x1900,0x07FFFFFF,d4b,,5,,,,,,,0x2F7600 ,0x400000 ,
sx130is,101c,,,,,12817,dryos,45,40,0xFF810000,0x1900,0x03FFFFFF,d4b,,5,,,,,,1,0x2F7600 ,0x200000 ,1
sx130is,101d,,,,,12817,dryos,45,40,0xFF810000,0x1900,0x03FFFFFF,d4b,,5,,,,,,1,0x2F7600 ,0x200000 ,1
sx130is,101f,,,,,12817,dryos,45,40,0xFF810000,0x1900,0x03FFFFFF,d4b,,5,,,,,,1,0x2F7600 ,0x200000 ,1
s95,100e,,,,,12818,dryos,45,40,0xff810000,0x1900,0x1FFFFFF,d4b,,5,,,,,,,,,
s95,100h,,,,,12818,dryos,45,40,0xff810000,0x1900,0x1FFFFFF,d4b,,5,,,,,,,,,
s95,100i,,,,,12818,dryos,45,40,0xff810000,0x1900,0x1FFFFFF,d4b,,5,,,,,,,,,
s95,100k,,,,,12818,dryos,45,40,0xff810000,0x1900,0x1FFFFFF,d4b,,5,,,,,,,,,
a3300,100a,,,,,12835,dryos,47,40,0xFF810000,0x1900,0x03FFFFFF,d4c,,6,,,,,,1,0x2DB400 ,0x80000 ,1
a3300,100c,,100a,,,12835,dryos,47,40,0xFF810000,0x1900,0x03FFFFFF,d4c,,6,,,,,,1,0x2DB400 ,0x80000 ,1
a3300,100d,,,,,12835,dryos,47,40,0xFF810000,0x1900,0x03FFFFFF,d4c,,6,,,,,,1,0x2DB400 ,0x80000 ,1
a3200,100a,,,,,12836,dryos,47,40,0xFF810000,0x1900,0x03FFFFFF,d4c,,6,,,,,,1,0x2DB400 ,0x80000 ,1
a3200,100c,,100a,,,12836,dryos,47,40,0xFF810000,0x1900,0x03FFFFFF,d4c,,6,,,,,,1,0x2DB400 ,0x80000 ,1
a3200,100d,,,,,12836,dryos,47,40,0xFF810000,0x1900,0x03FFFFFF,d4c,,6,,,,,,1,0x2DB400 ,0x80000 ,1
ixus310_elph500hs,100a,,,,,12837,dryos,47,40,0xFF000000,0x1900,0x07FFFFFF,d4c,,6,,1,0x3ce000,0x32000,1,1,0x679800 ,0xC0000 ,
ixus310_elph500hs,101a,,,,,12837,dryos,47,40,0xFF000000,0x1900,0x07FFFFFF,d4c,,6,,1,0x3ce000,0x32000,1,1,0x679800 ,0xC0000 ,
ixus310_elph500hs,101b,,101c,,,12837,dryos,47,40,0xFF000000,0x1900,0x07FFFFFF,d4c,,6,,1,0x3ce000,0x32000,1,1,0x679800 ,0xC0000 ,
ixus310_elph500hs,101c,,,,,12837,dryos,47,40,0xFF000000,0x1900,0x07FFFFFF,d4c,,6,,1,0x3ce000,0x32000,1,1,0x679800 ,0xC0000 ,
ixus115_elph100hs,100c,,,,,12839,dryos,47,40,0xFF810000,0x1900,0x7FFFFFF,d4c,,6,,1,0x3ce000,0x32000,1,,0x679800,0xA0000 ,
ixus115_elph100hs,101a,,,,,12839,dryos,47,40,0xFF810000,0x1900,0x7FFFFFF,d4c,,6,,1,0x3ce000,0x32000,1,,0x679800,0xA0000 ,
ixus115_elph100hs,101b,,,,,12839,dryos,47,40,0xFF810000,0x1900,0x7FFFFFF,d4c,,6,,1,0x3ce000,0x32000,1,,0x679800,0xA0000 ,
ixus115_elph100hs,101c,,101b,,,12839,dryos,47,40,0xFF810000,0x1900,0x7FFFFFF,d4c,,6,,1,0x3ce000,0x32000,1,,0x679800,0xA0000 ,
sx230hs,100c,,,,,12840,dryos,47,40,0xFF000000,0x1900,0x07FFFFFF,d4c,,6,,1,0x3ce000,0x32000,1,,0x679800 ,0xA0000 ,
sx230hs,101a,,,,,12840,dryos,47,40,0xFF000000,0x1900,0x07FFFFFF ,d4c,,6,,1,0x3ce000,0x32000,1,,0x679800 ,0xA0000 ,
sx230hs,101b,,,,,12840,dryos,47,40,0xFF000000,0x1900,0x07FFFFFF ,d4c,,6,,1,0x3ce000,0x32000,1,,0x679800 ,0xA0000 ,
sx230hs,101c,,101b,,,12840,dryos,47,40,0xFF000000,0x1900,0x07FFFFFF ,d4c,,6,,1,0x3ce000,0x32000,1,,0x679800 ,0xA0000 ,
sx230hs,101e,,101b,,,12840,dryos,47,40,0xFF000000,0x1900,0x07FFFFFF ,d4c,,6,,1,0x3ce000,0x32000,1,,0x679800 ,0xA0000 ,
ixus220_elph300hs,100c,,,,,12841,dryos,47,40,0xFF810000,0x1900,0x7FFFFFF,d4c,,6,,,,,,,0x679800,0xA0000 ,
ixus220_elph300hs,101a,,,,,12841,dryos,47,40,0xFF810000,0x1900,0x7FFFFFF,d4c,,6,,,,,,,0x679800,0xA0000 ,
ixus220_elph300hs,101c,,,,,12841,dryos,47,40,0xFF810000,0x1900,0x7FFFFFF,d4c,,6,,,,,,,0x679800,0xA0000 ,
ixus220_elph300hs,101d,,101c,,,12841,dryos,47,40,0xFF810000,0x1900,0x7FFFFFF,d4c,,6,,,,,,,0x679800,0xA0000 ,
ixus220_elph300hs,101e,,101c,,,12841,dryos,47,40,0xFF810000,0x1900,0x7FFFFFF,d4c,,6,,,,,,,0x679800,0xA0000 ,
ixus220_elph300hs,101g,,,,,12841,dryos,47,40,0xFF810000,0x1900,0x7FFFFFF,d4c,,6,,,,,,,0x679800,0xA0000 ,
a2200,100b,,,,,12842,dryos,47,40,0xFF810000,0x1900,0x03ffffff,d4c,,6,,1,0x34e000,0x32000,1,,0x2DB400 ,0xA0000 ,
a2200,100c,,100b,,,12842,dryos,47,40,0xFF810000,0x1900,0x03ffffff,d4c,,6,,1,0x34e000,0x32000,1,,0x2DB400 ,0xA0000 ,
a2200,100d,,,,,12842,dryos,47,40,0xFF810000,0x1900,0x03ffffff,d4c,,6,,1,0x34e000,0x32000,1,1,0x2DB400 ,0xA0000 ,
a1200,100a,,100b,,,12843,dryos,47,40,0xFF810000,0x1900,0x03ffffff,d4c,,6,,,,,,1,0x2DB400 ,0x80000 ,1
a1200,100b,,,,,12843,dryos,47,40,0xFF810000,0x1900,0x03ffffff,d4c,,6,,,,,,1,0x2DB400 ,0x80000 ,1
a1200,100c,,,,,12843,dryos,47,40,0xFF810000,0x1900,0x03ffffff,d4c,,6,,,,,,1,0x2DB400 ,0x80000 ,1
sx220hs,100a,,,,,12844,dryos,47,40,0xFF000000,0x1900,0x7FFFFFF,d4c,,6,,1,0x3ce000,0x32000,1,,0x679800,0xA0000 ,
sx220hs,101a,,,,,12844,dryos,47,40,0xFF000000,0x1900,0x7FFFFFF,d4c,,6,,1,0x3ce000,0x32000,1,,0x679800,0xA0000 ,
sx220hs,101b,,,,,12844,dryos,47,40,0xFF000000,0x1900,0x7FFFFFF,d4c,,6,,1,0x3ce000,0x32000,1,,0x679800,0xA0000 ,
sx220hs,101c,,101b,,,12844,dryos,47,40,0xFF000000,0x1900,0x7FFFFFF,d4c,,6,,1,0x3ce000,0x32000,1,,0x679800,0xA0000 ,
sx220hs,101e,,101b,,,12844,dryos,47,40,0xFF000000,0x1900,0x7FFFFFF,d4c,,6,,1,0x3ce000,0x32000,1,,0x679800,0xA0000 ,
sx150is,100a,,,,,12852,dryos,49,40,0xFF810000,0x1900,0x03FFFFFF,d4c,,7,,1,0x35e000,0x22000,,1,0x2DB400 ,0x80000 ,1
ixus230_elph310hs,100a,,,,,12855,dryos,49,40,0xFF000000,0x1900,0x7FFFFFF ,d4c,,7,,1,0x3de000,0x22000,,1,0x679800,0xA0000 ,1
ixus230_elph310hs,100b,,,,,12855,dryos,49,40,0xFF000000,0x1900,0x7FFFFFF ,d4c,,7,,1,0x3de000,0x22000,,1,0x679800,0xA0000 ,1
ixus230_elph310hs,100e,,,,,12855,dryos,49,40,0xFF000000,0x1900,0x7FFFFFF ,d4c,,7,,1,0x3de000,0x22000,,1,0x679800,0xA0000 ,1
a1300,100b,,,,,12862,dryos,50,40,0xFF810000,0x1900,0x03ffffff,d4c,,8,,,,,,1,0x2DB400 ,0x100000 ,1
a1300,100d,,,,,12862,dryos,50,40,0xFF810000,0x1900,0x03ffffff,d4c,,8,,,,,,1,0x2DB400 ,0x100000 ,1
a1300,100e,,,,,12862,dryos,50,40,0xFF810000,0x1900,0x03ffffff,d4c,,8,,,,,,1,0x2DB400 ,0x100000 ,1
a810,100b,,,,,12863,dryos,50,40,0xFF810000,0x1900,0x03ffffff,d4c,,8,,,,,,1,0x2DB400 ,0x100000 ,1
a810,100d,,,,,12863,dryos,50,40,0xFF810000,0x1900,0x03ffffff,d4c,,8,,,,,,1,0x2DB400 ,0x100000 ,1
a810,100e,,,,,12863,dryos,50,40,0xFF810000,0x1900,0x03ffffff,d4c,,8,,,,,,1,0x2DB400 ,0x100000 ,1
d20,100b,,,,,12866,dryos,50,40,0xFF000000,0x1900,0x07ffffff,d4c,,8,,1,0x3ce000 ,0x22000 ,,,0x679800 ,0x100000 ,
a4000,100c,,,,,12867,dryos,50,40,0xFF810000,0x1900,0x03ffffff,d4c,,8,,,,,,,0x2DB400 ,0x100000 ,
a4000,101a,,,,,12867,dryos,50,40,0xFF810000,0x1900,0x03ffffff,d4c,,8,,,,,,,0x2DB400 ,0x100000 ,
a4000,101b,,,,,12867,dryos,50,40,0xFF810000,0x1900,0x03ffffff,d4c,,8,,,,,,,0x2DB400 ,0x100000 ,
a4000,102a,,101b,,,12867,dryos,50,40,0xFF810000,0x1900,0x03ffffff,d4c,,8,,,,,,,0x2DB400 ,0x100000 ,
a3400,100f,,,,,12872,dryos,50,40,0xFF810000,0x1900,0x03ffffff,d4c,,8,,,,,,1,0x2DB400 ,0x100000 ,1
a3400,101a,,,,,12872,dryos,50,40,0xFF810000,0x1900,0x03ffffff,d4c,,8,,,,,,1,0x2DB400 ,0x100000 ,1
a3400,101b,,,,,12872,dryos,50,40,0xFF810000,0x1900,0x03ffffff,d4c,,8,,,,,,1,0x2DB400 ,0x100000 ,1
a2400,100c,,,,,12873,dryos,50,40,0xFF810000,0x1900,0x03ffffff,d4c,,8,,,,,,1,0x2DB400 ,0x100000 ,1
a2400,100d,,,,,12873,dryos,50,40,0xFF810000,0x1900,0x03ffffff,d4c,,8,,,,,,1,0x2DB400 ,0x100000 ,1
a2400,100e,,,,,12873,dryos,50,40,0xFF810000,0x1900,0x03ffffff,d4c,,8,,,,,,1,0x2DB400 ,0x100000 ,1
a2300,100c,,,,,12874,dryos,50,40,0xFF810000,0x1900,0x03ffffff,d4c,,8,,,,,,1,0x2DB400 ,0x100000 ,1
a2300,100e,,,,,12874,dryos,50,40,0xFF810000,0x1900,0x03ffffff,d4c,,8,,,,,,1,0x2DB400 ,0x100000 ,1
a2300,100f,,,,,12874,dryos,50,40,0xFF810000,0x1900,0x03ffffff,d4c,,8,,,,,,1,0x2DB400 ,0x100000 ,1
d30,100a,,,,,12932,dryos,50,40,0xFF000000,0x1900,0x07ffffff ,d4c,,8,,1,0x3ce000,0x22000,,,,,
sx160is,100a,,,,,12890,dryos,51,40,0xFF810000,0x1900,0x03FFFFFF,d4c,,9,,1,0x38e000,0x22000,,1,0x2DB400 ,0x80000 ,1
sx500is,100c,BETA,,,,12892,dryos,51,40,0xFF000000,0x1900,0x03FFFFFF,d4c,,9,,,,,,1,0x2DB400 ,0x100000 ,1
sx500is,100d,BETA,100c,,,12892,dryos,51,40,0xFF000000,0x1900,0x03FFFFFF,d4c,,9,,,,,,1,0x2DB400 ,0x100000 ,1
sx500is,100e,BETA,100c,,,12892,dryos,51,40,0xFF000000,0x1900,0x03FFFFFF,d4c,,9,,,,,,1,0x2DB400 ,0x100000 ,1
a2600,100c,,,,,12898,dryos,52,40,0xFF810000,0x1900,0x03ffffff,d4d,,10,,,,,,,,,
a2600,100d,,100c,,,12898,dryos,52,40,0xFF810000,0x1900,0x03ffffff,d4d,,10,,,,,,,,,
a1400,100b,,,,,12900,dryos,52,40,0xFF810000,0x1900,0x03ffffff,d4d,,10,,1,0x34e000,0x22000,,,0x2DB400 ,0x100000 ,
ixus140_elph130,100a,,,,,12901,dryos,52,40,0xff000000,0x1900,0x03ffffff ,d4d,,10,,1,0x5ce000,0x22000,,,,,
ixus140_elph130,100b,,100a,,,12901,dryos,52,40,0xff000000,0x1900,0x03ffffff ,d4d,,10,,1,0x5ce000,0x22000,,,,,
ixus135_elph120,100b,,,,,12902,dryos,52,40,0xff000000,0x1900,0x03ffffff ,d4d,,10,,1,0x5ce000,0x22000,,,,,
a2500,100a,,,,,12913,dryos,52,40,0xFF810000,0x1900,0x03ffffff,d4d,,10,,,,,,,,,
sx170is,100a,,,,,12918,dryos,52,40,0xFF810000,0x1900,0x03ffffff ,d4e,,11,,1,0x34e000,0x22000,,,,,
sx170is,101a,,,,,12918,dryos,52,40,0xFF810000,0x1900,0x03ffffff ,d4e,,11,,1,0x34e000,0x22000,,,,,
sx510hs,100a,ALPHA,100d,,,12919,dryos,52,40,0xff000000,0x1900,0x07ffffff ,d4e,,11,,,,,,,,,
sx510hs,100c,ALPHA,100d,,,12919,dryos,52,40,0xff000000,0x1900,0x07ffffff ,d4e,,11,,,,,,,,,
sx510hs,100d,ALPHA,,,,12919,dryos,52,40,0xff000000,0x1900,0x07ffffff ,d4e,,11,,,,,,,,,
sx510hs,101a,ALPHA,,,,12919,dryos,52,40,0xff000000,0x1900,0x07ffffff ,d4e,,11,,,,,,,,,
ixus132_elph115,100b,,,,,12925,dryos,52,40,0xff000000,0x1900,0x03ffffff ,d4d,,10,,1,0x5ce000,0x22000,,,,,
ixus150_elph140,100c,,,,,12935,dryos,54,41,0xff810000,0x1900,0x07ffffff,d4f,,12,,,,,,,,,
ixus145_elph135,100c,,,,,12936,dryos,54,41,0xFF810000,0x1900,0x07ffffff,d4f,,12,,,,,,,,,
ixus265_elph340hs,100c,ALPHA,,,SKIP,12937,dryos,54,41,0xff010000,0x1900,0x1FFFFFF,d4f,,12,,,,,,,,,
sx520hs,100b,,,,,12955,dryos,55,41,0xff010000,0x1900,0x0fffffff ,d4h,,14,,1,0x60e000,0x22000,1,,,,
sx520hs,100c,,,,,12955,dryos,55,41,0xff010000,0x1900,0x0fffffff ,d4h,,14,,1,0x60e000,0x22000,1,,,,
sx400is,100b,,,,,12956,dryos,55,41,0xFF810000,0x1900,0x1FFFFFF,d4h,,14 ,,,,,,,,,
sx530hs,100a,,,,,12959,dryos,55,41,0xff010000,0x1900,0x0fffffff ,d4h,,14,,1,0x60e000,0x22000,1,,,,
sx530hs,100c,,,,,12959,dryos,55,41,0xff010000,0x1900,0x0fffffff ,d4h,,14,,1,0x60e000,0x22000,1,,,,
sx530hs,110a,,100c,,,12959,dryos,55,41,0xff010000,0x1900,0x0fffffff ,d4h,,14,,1,0x60e000,0x22000,1,,,,
ixus160_elph160,100a,,,,,12970,dryos,55,41,0xFF810000,0x1900,0x07ffffff,d4g,,13,,1,0x60e000,0x22000,,,,,
ixus160_elph160,100b,,100a,,,12970,dryos,55,41,0xFF810000,0x1900,0x07ffffff,d4g,,13,,1,0x60e000,0x22000,,,,,
ixus170_elph170,100a,ALPHA,,,SKIP,12972,dryos,55,41,0xFF810000,0x1900,0x07ffffff,d4g,,13,,,,,,,,,
sx410is,100b,,100c,,,12973,dryos,55,41,0xFF810000,0x1900,0x1FFFFFF,d4g,,13,,,,,,,,,
sx410is,100c,,,,,12973,dryos,55,41,0xFF810000,0x1900,0x1FFFFFF,d4g,,13,,,,,,,,,
sx610hs,100a,,,,,12967,dryos,57,41,0xff010000,0x1900,0x1FFFFFF,d4g,,13,,,,,,,,,
ixus275_elph350hs,100a,,,,,12971,dryos,57,41,0xff010000,0x1900,0x1FFFFFF,d4g,,13,,,,,,,,,
ixus285_elph360hs,100b,ALPHA,,,SKIP,12989,dryos,58,41,0xff010000,0x1900,0x1FFFFFF,d4i,W,16,,,,,,,,,
sx420is,100a,BETA,,,,12991,dryos,58,41,0xff010000,0x1900,0x1FFFFFF,d4i,W,16,,,,,,,,,
ixus175_elph180,100a,,100c,,,12993,dryos,58,41,0xFF810000,0x1900,0x07ffffff,d4i,W,16,,,,,,,,,
ixus175_elph180,100b,,100c,,,12993,dryos,58,41,0xFF810000,0x1900,0x07ffffff,d4i,W,16,,,,,,,,,
ixus175_elph180,100c,,,,,12993,dryos,58,41,0xFF810000,0x1900,0x07ffffff,d4i,W,16,,,,,,,,,
sx620hs,100b,,,,,12995,dryos,58,41,0xff010000,0x1900,0x1FFFFFF,d4i,W,16,,,,,,,,,
sx620hs,100c,ALPHA,,,,12995,dryos,58,41,0xff010000,0x1900,0x1FFFFFF,d4i,W,16,,,,,,,,,
ixus185_elph185,100a,,,,,13012,dryos,59,41,0xff810000,0x1900,0x1FFFFFF,d4j,W,17,,,,,,,,,
sx430is,100b,ALPHA,,,SKIP,13013,dryos,59,41,0xff010000,0x1900,0x1FFFFFF,d4j,W,17,,,,,,,,,
g1x,100e,,,,,12851,dryos,49,50,0xFF000000,0x1900,0x0fffffff,d4c,,7,,,,,,,,,
g1x,100f,,,,,12851,dryos,49,50,0xFF000000,0x1900,0x0fffffff,d4c,,7,,,,,,,,,
g1x,100g,,,,,12851,dryos,49,50,0xFF000000,0x1900,0x0fffffff,d4c,,7,,,,,,,,,
g1x,101a,,,,,12851,dryos,49,50,0xFF000000,0x1900,0x0fffffff,d4c,,7,,,,,,,,,
s100,100d,,,,,12854,dryos,49,50,0xFF000000,0x1900,0x0fffffff,d4c,,7,,,,,,,,,
s100,100e,,,,,12854,dryos,49,50,0xFF000000,0x1900,0x0fffffff,d4c,,7,,,,,,,,,
s100,101a,,,,,12854,dryos,49,50,0xFF000000,0x1900,0x0fffffff,d4c,,7,,,,,,,,,
s100,101b,,,,,12854,dryos,49,50,0xFF000000,0x1900,0x0fffffff,d4c,,7,,,,,,,,,
s100,102a,,,,,12854,dryos,49,50,0xFF000000,0x1900,0x0fffffff,d4c,,7,,,,,,,,,
sx40hs,100d,,,,,12856,dryos,49,50,0xFF000000,0x1900,0x0fffffff,d4c,,7,,,,,,,,,
sx40hs,100f,,,,,12856,dryos,49,50,0xFF000000,0x1900,0x0fffffff,d4c,,7,,,,,,,,,
sx40hs,100g,,,,,12856,dryos,49,50,0xFF000000,0x1900,0x0fffffff,d4c,,7,,,,,,,,,
sx40hs,100i,,,,,12856,dryos,49,50,0xFF000000,0x1900,0x0fffffff,d4c,,7,,,,,,,,,
ixus240_elph320hs,100d,ALPHA,101a,,,12864,dryos,50,50,0xFF000000,0x1900,0x0FFFFFFF,d4c,,8 ,,,,,,,0x679800 ,0xA0000 ,
ixus240_elph320hs,101a,ALPHA,,,,12864,dryos,50,50,0xFF000000,0x1900,0x0FFFFFFF,d4c,,8 ,,,,,,,0x679800 ,0xA0000 ,
ixus240_elph320hs,102a,ALPHA,,,,12864,dryos,50,50,0xFF000000,0x1900,0x0FFFFFFF,d4c,,8 ,,,,,,,0x679800 ,0xA0000 ,
ixus125_elph110hs,100d,,,,,12865,dryos,50,50,0xFF000000,0x1900,0x0FFFFFFF,d4c,,8,,,,,,1,0x679800 ,0x100000 ,1
ixus125_elph110hs,100e,,,,,12865,dryos,50,50,0xFF000000,0x1900,0x0FFFFFFF,d4c,,8,,,,,,1,0x679800 ,0x100000 ,1
ixus125_elph110hs,101a,,,,,12865,dryos,50,50,0xFF000000,0x1900,0x0FFFFFFF,d4c,,8,,,,,,1,0x679800 ,0x100000 ,1
sx260hs,100b,,,,,12868,dryos,50,50,0xFF000000,0x1900,0x0fffffff,d4c,,8,,,,,,,,,
sx260hs,100c,,,,,12868,dryos,50,50,0xFF000000,0x1900,0x0fffffff,d4c,,8,,,,,,,,,
sx260hs,101a,,,,,12868,dryos,50,50,0xFF000000,0x1900,0x0fffffff,d4c,,8,,,,,,,,,
sx240hs,100a,,,,,12869,dryos,50,50,0xFF000000,0x1900,0x0fffffff,d4c,,8,,,,,,,0x679800 ,0xA0000 ,
sx240hs,100c,,,,,12869,dryos,50,50,0xFF000000,0x1900,0x0fffffff,d4c,,8,,,,,,,,,
sx240hs,101a,,,,,12869,dryos,50,50,0xFF000000,0x1900,0x0fffffff,d4c,,8,,,,,,,,,
g15,100b,,,,,12888,dryos,51,50,0xFF000000,0x1900,0x0fffffff,d4c,,9,,,,,,,,,
g15,100e,,,,,12888,dryos,51,50,0xFF000000,0x1900,0x0fffffff,d4c,,9,,,,,,,,,
sx50hs,100b,,,,,12889,dryos,51,50,0xFF000000,0x1900,0x0fffffff,d4c,,9,,,,,,,0x679800 ,0x100000 ,
sx50hs,100c,,,,,12889,dryos,51,50,0xFF000000,0x1900,0x0fffffff,d4c,,9,,,,,,,0x679800 ,0x100000 ,
s110,101b,,,,,12891,dryos,51,50,0xF8000000,0x1900,0x0fffffff,d4c,,9,,,,,,,,,
s110,102b,,,,,12891,dryos,51,50,0xF8000000,0x1900,0x0fffffff,d4c,,9,,,,,,,,,
s110,103a,,,,,12891,dryos,51,50,0xF8000000,0x1900,0x0fffffff,d4c,,9,,,,,,,,,
n,100a,,,,,12894 ,dryos,52,50,0xff000000,0x1900,0x0fffffff,d4d,,10,,,0x5ce000,0x22000,,,,,
ixus255_elph330hs,100f,BETA,,,,12904 ,dryos,52,50,0xff000000,0x1900,0x0fffffff,d4d,,10 ,,,,,,,,,
ixus255_elph330hs,100h,BETA,100f,,,12904 ,dryos,52,50,0xff000000,0x1900,0x0fffffff,d4d,,10 ,,,,,,,,,
n_facebook,100a,,,,,12939,dryos,52,50,0xff000000,0x1900,0x0fffffff,d4d,,10,,,0x5ce000,0x22000,,,,,
sx280hs,102b,,,,,12895,dryos,52,60,0xFC000000,0x8000,0x0fffffff,d4d,,10,1,,,,,,,,
sx280hs,102c,,,,,12895,dryos,52,60,0xFC000000,0x8000,0x0fffffff,d4d,,10,1,,,,,,,,
sx280hs,102d,,102c,,,12895,dryos,52,60,0xFC000000,0x8000,0x0fffffff,d4d,,10,1,,,,,,,,
sx270hs,102b,,102b,sx280hs,,12896,dryos,52,60,0xFC000000,0x8000,0x0fffffff,d4d,,10,1,,,,,,,,
sx270hs,102c,,102c,sx280hs,,12896,dryos,52,60,0xFC000000,0x8000,0x0fffffff,d4d,,10,1,,,,,,,,
sx275hs,102b,,102b,sx280hs,,12899,dryos,52,60,0xFC000000,0x8000,0x0fffffff,d4d,,10,1,,,,,,,,
sx275hs,102c,,102c,sx280hs,,12899,dryos,52,60,0xFC000000,0x8000,0x0fffffff,d4d,,10,1,,,,,,,,
g16,100h,,,,,12916,dryos,52,60,0xFC000000,0x8000,0x0fffffff,d4e,,11,1,,0x006ce000 ,0x00022000 ,,,,,
g16,101a,,,,,12916,dryos,52,60,0xFC000000,0x8000,0x0fffffff,d4e,,11,1,,0x006ce000 ,0x00022000 ,,,,,
g16,101b,,,,,12916,dryos,52,60,0xFC000000,0x8000,0x0fffffff,d4e,,11,1,,0x006ce000 ,0x00022000 ,,,,,
g16,101c,,,,,12916,dryos,52,60,0xFC000000,0x8000,0x0fffffff,d4e,,11,1,,0x006ce000 ,0x00022000 ,,,,,
sx700hs,100d,,,,,12933 ,dryos,54 ,60,0xFC000000,0x8000,0x1fffffff,d4h,,12,1,1,0x006ce000,0x00022000,,,,,
sx700hs,100e,,,,,12933 ,dryos,54 ,60,0xFC000000,0x8000,0x1fffffff,d4h,,12,1,1,0x006ce000,0x00022000,,,,,
m3,101a,BETA,,,,12953,dryos,55,60,0xFC000000,0x8000,0x1fffffff,d4h,,14,1,,,,,,,,
m3,120f,BETA,,,,12953,dryos,55,60,0xFC000000,0x8000,0x1fffffff,d4h,,14,1,,,,,,,,
sx60hs,100b,,,,,12954,dryos,55,60,0xFC000000,0x8000,0x1fffffff,d4h,,14,1,,0x006ce000,0x00022000,,,,,
sx60hs,100c,,,,,12954,dryos,55,60,0xFC000000,0x8000,0x1fffffff,d4h,,14,1,,0x006ce000,0x00022000,,,,,
sx60hs,100f,,,,,12954,dryos,55,60,0xFC000000,0x8000,0x1fffffff,d4h,,14,1,,0x006ce000,0x00022000,,,,,
sx60hs,100g,,100f,,,12954,dryos,55,60,0xFC000000,0x8000,0x1fffffff,d4h,,14,1,,0x006ce000,0x00022000,,,,,
sx60hs,100h,,,,,12954,dryos,55,60,0xFC000000,0x8000,0x1fffffff,d4h,,14,1,,0x006ce000,0x00022000,,,,,
g7x,100b,,,,,12957,dryos,55,60,0xFC000000,0x8000,0x1fffffff,d4h,,14,1,1,0x006ce000,0x00022000,,,,,
g7x,100c,,,,,12957,dryos,55,60,0xFC000000,0x8000,0x1fffffff,d4h,,14,1,1,0x006ce000,0x00022000,,,,,
g7x,100d,,,,,12957,dryos,55,60,0xFC000000,0x8000,0x1fffffff,d4h,,14,1,1,0x006ce000,0x00022000,,,,,
m10,110d,BETA,,,,12960,dryos,57,60,0xFC000000,0x8000,0x1fffffff,d4g,W,13,1,,0x0074e000 ,0x00022000 ,,,,,
m10,110f,BETA,,,,12960,dryos,57,60,0xFC000000,0x8000,0x1fffffff,d4g,W,13,1,,0x0074e000 ,0x00022000 ,,,,,
m10,110g,BETA,110f,,,12960,dryos,57,60,0xFC000000,0x8000,0x1fffffff,d4g,W,13,1,,0x0074e000 ,0x00022000 ,,,,,
m10,111a,ALPHA,,,SKIP,12960,dryos,57,60,0xFC000000,0x8000,0x1fffffff,d4g,W,13,1,,0x0074e000 ,0x00022000 ,,,,,
sx710hs,100a,,,,,12966,dryos,57,60,0xFC000000,0x8000,0x1fffffff,d4g,,13,1,1,0x006ce000 ,0x00022000 ,,,,,
sx710hs,101a,,,,,12966,dryos,57,60,0xFC000000,0x8000,0x1fffffff,d4g,,13,1,1,0x006ce000 ,0x00022000 ,,,,,
g5x,100c,,,,,12979,dryos,58,60,0xFC000000,0x8000,0x3fffffff,d5,W,15,1,1,0x006ce000,0x00022000,,,,,
g5x,101a,,,,,12979,dryos,58,60,0xFC000000,0x8000,0x3fffffff,d5,W,15,1,1,0x006ce000,0x00022000,,,,,
g5x,101b,,,,,12979,dryos,58,60,0xFC000000,0x8000,0x3fffffff,d5,W,15,1,1,0x006ce000,0x00022000,,,,,
