0x006df5d4,_dadd
0xff02ce90,ClearDurianMode_FW
0x006b8278,ClearEventFlag
0xff02d03c,ClearFactoryMasterFlag_FW
0xff02d054,ClearFactoryMasterROMProtection_FW
0xff02ce90,ClearFactoryMode_FW
0xff3d4bd8,ClearFocusActuatorMicroStepCountSync_FW
0xff04ca10,ClearImageDrive_FW
0xff4dacb0,ClearISCalcZData_FW
0xff3d6244,ClearISIComponent_FW
0xff3d626c,ClearISZData_FW
0xff14b9dc,ClearNFCSystemArea_FW
0xff3bf018,ClearPMByFs_FW
0xff3bf000,ClearPMByGpio_FW
0xff391000,ClearSoundDevForRecEvent_FW
0xff02ca2c,ClearWLANFactoryMode_FW
0xff3923a4,ClearZoomCommonDriveParam_FW
0xff391ac8,ClearZoomDriveParam_FW
0xff026f9c,Close
0xff023d20,close
0xff026f9c,Close_FW
0xff0af5bc,CloseConsole_FW
0xff3b0ae4,closedir
0xff3d5524,CloseMechaShutter_FW
0xff3d557c,CloseMechaShutterWithTiming_FW
0xff4d492c,CloseMShutter_FW
0xff4f9b68,ClrEsmPiMstCntSyncFun_FW
0xff4f9ae0,ClrEsmRstPiPosLtchFun_FW
0xff1794fc,ConnectPtpIPService_FW
0xff390964,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xff390918,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xff4d10cc,ConvertApexStdToApex_FW
0xff4d109c,ConvertApexToApexStd_FW
0xff4d167c,ConvertCxCyToWBGain_FW
0xff4d6618,ConvertToPositionWithDistance_FW
0xff4d65fc,ConvertToPositionWithDistanceAndZoomPoint_FW
0xff4d04c4,ConvertTvToExposureTime_FW
0xff4d049c,CorrectMvFrMem2MemAfterDefMark_FW
0xff0af31c,CPrintf_FW
0xff0af374,CPutChar_FW
0xff07f5b0,CreateAdjustmentTableMirror_FW
0x006b7890,CreateBinarySemaphore
0x006b7c68,CreateBinarySemaphoreStrictly
0xff0b198c,CreateController_FW
0x006b7914,CreateCountingSemaphore
0x006b7914,CreateCountingSemaphore_FW
0x006b7c90,CreateCountingSemaphoreStrictly
0xff07f5c0,CreateDefectTableMirror_FW
0xff2384d8,CreateDialogBox
0x006b7ef8,CreateEventFlag
0x006b7c40,CreateEventFlagStrictly
0xff1d4788,CreateFADBGSingalID_FW
0xff4d4b50,CreateJumptable
0x006b8348,CreateMessageQueue
0x006b7c18,CreateMessageQueueStrictly
0xff03552c,CreateProxyOfEventProcedure_FW
0x006b87c4,CreateRecursiveLock
0x006b7cb8,CreateRecursiveLockStrictly
0x006b5658,CreateTask
0x006b5658,CreateTask_FW
0x006b7be0,CreateTaskStrictly
0xff080138,CreateUserSettingMirror_FW
0xff3158c4,CrossDefDetect_FW
0xff3159e4,CrossPickUpDetect_FW
0xff0b1c10,CtrlMan_ChangeZOrder_FW
0xff091188,CzDebugPrint_FW
0xff09119c,CzDebugPrintToFile_FW
0x006b5a04,DebugAssert
0xff0b1a6c,DeleteController_FW
0xff02699c,DeleteDirectory_Fut
0x006b7f58,DeleteEventFlag
0xff026928,DeleteFile_Fut,(stubs_entry_2.s)
0x006b83f8,DeleteMessageQueue
0xff035584,DeleteProxyOfEventProcedure_FW
0x006b881c,DeleteRecursiveLock
0x006b7974,DeleteSemaphore
0x006b7974,DeleteSemaphore_FW
0xff4d4858,DevelopStillPicture_FW
0xff316810,DevelopTool.DevelopTest_FW
0xff1d40ac,DeviceUniqueIDCheckSum_FW
0xff1d7450,DisableDebugLogMode_FW
0xff3d65d8,DisableDISModeChange_FW
0x006b8a90,DisableDispatch
0x006b1b14,DisableDispatch_low
0xff4f9db4,DisableEsmFixVolSpdMeasure_FW
0xff4f9e88,DisableEsmImpPosDetMeanCurPrgDegVal_FW
0xff4f9e48,DisableEsmImprovedPosDet_FW
0xff4f9e68,DisableEsmImprovedPosDetMeanAdjVal_FW
0xff4f9eac,DisableEsmMicroStepCountSync_FW
0xff4f9940,DisableEsmOpenDrive_FW
0xff4f98fc,DisableEsmPiDetectStop_FW
0xff4f98dc,DisableEsmSettingWait_FW
0xff3d47a8,DisableFocusLens_FW
0xff3d4824,DisableFocusLensGainLock_FW
0xff3d4848,DisableFocusLensSlopeGain_FW
0xff3d4874,DisableFocusLensWaveLock_FW
0xff3d53cc,DisableFocusPiCircuit_FW
0xff072894,DisableHDMIPower
0xff4d0488,DisableHeadDirectCapturePath_FW
0xff3d4f78,DisableIris_FW
0xff2050b4,DisableIrisActuator_FW
0xff3d6320,DisableISAutoGyroOffset_FW
0xff3d6300,DisableISDriveError
0xff3d6300,DisableISDriveError_FW
0xff3d51b4,DisableLensError_FW
0xff3d6688,DisableMacroIS_FW
0xff3d53ac,DisableMechaCircuit_FW
0xff3d5414,DisableZoomEncoderCircuit_FW
0xff3d5a38,DisableZoomLensElectricControl_FW
0xff3d56bc,DisableZoomLensEncoderPowerControl_FW
0xff3d5a10,DisableZoomLensSpeedControl_FW
0xff3d53f0,DisableZoomPiCircuit_FW
0xff179508,DisconnectPtpIPService_FW
0xff06ed58,DispCon_GetLcdGainAdjParameter_FW
0xff06eb4c,DispCon_GetVideoAdjParameter_FW
0xff06eda4,DispCon_SaveLcdGainAdjParameter_FW
0xff06ebec,DispCon_SaveVideoAdjParameter_FW
0xff06e690,DispCon_SetDisplayType_FW
0xff06ed08,DispCon_SetLcdGainAdjParameter_FW
0xff06ea30,DispCon_SetMaxBackLightBrightness_FW
0xff06eabc,DispCon_SetVideoAdjParameter_FW
0xff06e5b4,DispCon_ShowBitmapColorBar
0xff06e5b4,DispCon_ShowBitmapColorBar_FW
0xff06e598,DispCon_ShowBlackChart_FW
0xff06e368,DispCon_ShowColorBar_FW
0xff06e6b0,DispCon_ShowColorChart_FW
0xff06e624,DispCon_ShowCustomColorBar_FW
0xff06e3f4,DispCon_ShowFiveStep_FW
0xff06edc0,DispCon_ShowHdChart_FW
0xff06ed94,DispCon_ShowLcdGainAdjParameter_FW
0xff06e8a0,DispCon_ShowNStepsChart_FW
0xff06ebb4,DispCon_ShowVideoAdjParameter_FW
0xff06e544,DispCon_ShowWhiteChart_FW
0xff06e6cc,DispCon_ShowWhiteLine_FW
0xff06ea20,DispCon_TurnOffBackLight_FW
0xff06ea00,DispCon_TurnOffDisplay_FW
