CAMERA,FIRMWARE,BETA_STATUS,SOURCE_FIRMWARE,SKIP_AUTOBUILD
ixus960_sd950,100c,,100d,
ixus970_sd890,100b,,,
ixus970_sd890,100c,,,
ixus970_sd890,100d,,100c,
ixus970_sd890,100f,,,
ixus980_sd990,100e,,,
ixus980_sd990,101b,,,
ixusizoom_sd30,100h,,,
ixusizoom_sd30,100g,,,
ixusizoom_sd30,100f,,100g,
ixusw_sd430,110a,BETA,,
n,100a,BETA,,
n_facebook,100a,ALPHA,,
s2is,100e,,,
s2is,100f,,,
s2is,100g,,,
s2is,100i,,100g,
s3is,100a,,,
s5is,101a,,,
s5is,101b,,,
s80,100g,,,
s80,101b,ALPHA,,
s90,100c,,,
s90,101a,,,
s90,101c,,,
s90,101b,,101c,
s95,100e,,,
s95,100h,,,
s95,100i,,,
s95,100k,,,
s100,100d,,,
s100,100e,,,
s100,101a,,,
s100,101b,,,
s100,102a,,,
s110,101b,ALPHA,,
s110,102b,BETA,,
s110,103a,ALPHA,,
sx1,200h,,,
sx1,201a,,,
sx10,100c,,,
sx10,101a,,,
sx10,101b,,,
sx10,102b,,,
sx10,103a,,,
sx100is,100b,,,
sx100is,100c,,,
sx110is,100b,,,
sx120is,100b,,,
sx130is,101c,,,
sx130is,101d,,,
sx130is,101f,,,
sx150is,100a,,,
sx160is,100a,,,
sx170is,100a,ALPHA,,
sx170is,101a,ALPHA,,
sx20,100f,,,
sx20,102b,,,
sx20,102d,,,
sx20,102c,,102d,
sx200is,100c,,,
sx200is,100d,,100c,
sx210is,100c,,,
sx220hs,100a,,,
sx220hs,101a,,,
sx220hs,101b,,,
sx220hs,101c,,101b,
sx220hs,101e,,101b,
sx230hs,100c,,,
sx230hs,101a,,,
sx230hs,101b,,,
sx230hs,101c,,101b,
sx230hs,101e,,101b,
sx240hs,100a,,,
sx240hs,100c,,,
sx240hs,101a,,,
sx260hs,100b,,,
sx260hs,100c,,,
sx260hs,101a,,,
sx30,100e,,,
sx30,100h,,,
